Id,Rainfall,Temperature,Humidity,Water,Day,Mean,Date
80,1353,22,18,530,3,802,13-Apr-06
81,1006,22,12,567,4,791,14-Apr-06
82,1261,20,15,563,5,800,15-Apr-06
83,924,30,12,1126,6,808,16-Apr-06
84,823,26,10,1116,7,792,17-Apr-06
85,742,25,15,986,1,807,18-Apr-06
86,1229,20,16,594,2,801,19-Apr-06
87,932,28,20,893,3,800,20-Apr-06
88,1326,22,13,610,4,793,21-Apr-06
89,1215,23,21,576,5,810,22-Apr-06
90,1408,19,24,695,6,807,23-Apr-06
91,884,26,21,1103,7,795,24-Apr-06
92,584,29,20,941,1,809,25-Apr-06
93,1444,23,20,533,2,790,26-Apr-06
94,1182,23,14,525,3,796,27-Apr-06
95,1319,23,20,504,4,792,28-Apr-06
96,793,27,22,925,5,805,29-Apr-06
97,1362,21,18,751,6,798,30-Apr-06
98,744,28,25,1001,7,799,01-May-06
99,1297,20,24,502,1,802,02-May-06
100,1094,21,13,558,2,806,03-May-06
101,698,30,13,948,3,791,04-May-06
102,1085,20,12,609,4,790,05-May-06
103,1062,21,18,531,5,801,06-May-06
104,693,26,21,1101,6,805,07-May-06
105,526,30,16,1078,7,796,08-May-06
106,1310,22,18,521,1,800,09-May-06
107,742,25,17,974,2,809,10-May-06
108,1229,19,13,531,3,793,11-May-06
109,651,31,14,997,4,794,12-May-06
110,648,25,17,916,5,810,13-May-06
111,1140,22,16,761,6,804,14-May-06
112,1057,23,10,722,7,806,15-May-06
113,1466,21,10,577,1,801,16-May-06
114,670,25,16,915,2,793,17-May-06
115,1180,19,16,554,3,799,18-May-06
116,740,34,12,951,4,805,19-May-06
117,875,25,23,908,5,792,20-May-06
118,976,26,15,1159,6,806,21-May-06
119,1301,19,21,673,7,799,22-May-06
120,719,33,22,939,1,810,23-May-06
121,622,30,14,1008,2,804,24-May-06
122,1380,22,13,586,3,790,25-May-06
123,1153,22,17,552,4,793,26-May-06
124,1377,22,11,603,5,791,27-May-06
125,1209,21,19,675,6,809,28-May-06
126,1083,23,13,706,7,807,29-May-06
127,574,34,22,907,1,798,30-May-06
128,1497,20,17,547,2,807,31-May-06
129,1460,21,19,549,3,791,01-Jun-06
130,1255,21,18,574,4,799,02-Jun-06
131,516,33,17,943,5,793,03-Jun-06
132,1394,20,13,772,6,790,04-Jun-06
133,577,33,20,1062,7,806,05-Jun-06
134,622,26,25,960,1,801,06-Jun-06
135,753,25,18,1004,2,807,07-Jun-06
136,1417,22,11,572,3,797,08-Jun-06
137,979,27,17,928,4,810,09-Jun-06
138,905,31,17,969,5,804,10-Jun-06
139,1127,20,11,707,6,793,11-Jun-06
140,1355,21,17,723,7,809,12-Jun-06
141,1033,22,12,580,1,801,13-Jun-06
142,944,29,12,976,2,795,14-Jun-06
143,590,32,19,994,3,794,15-Jun-06
144,1188,20,19,614,4,797,16-Jun-06
145,1023,22,19,583,5,797,17-Jun-06
146,1005,20,21,733,6,796,18-Jun-06
147,1397,19,23,714,7,799,19-Jun-06
148,598,28,23,886,1,807,20-Jun-06
149,977,31,20,948,2,804,21-Jun-06
150,912,28,20,971,3,796,22-Jun-06
151,918,30,24,896,4,809,23-Jun-06
152,508,29,24,937,5,797,24-Jun-06
153,999,25,25,1148,6,803,25-Jun-06
154,1377,21,22,743,7,801,26-Jun-06
155,1493,21,21,559,1,803,27-Jun-06
156,1077,21,18,564,2,802,28-Jun-06
157,771,29,23,896,3,807,29-Jun-06
158,567,30,16,942,4,792,30-Jun-06
159,1129,19,23,532,5,808,01-Jul-06
160,528,26,12,1090,6,808,02-Jul-06
161,950,25,20,1011,7,804,03-Jul-06
162,929,25,14,998,1,800,04-Jul-06
163,1386,22,24,512,2,797,05-Jul-06
164,922,27,15,927,3,799,06-Jul-06
165,924,29,13,1008,4,799,07-Jul-06
166,1361,21,23,570,5,804,08-Jul-06
167,1279,19,25,627,6,801,09-Jul-06
168,1250,20,11,709,7,795,10-Jul-06
169,1278,20,15,540,1,798,11-Jul-06
170,1079,19,22,542,2,803,12-Jul-06
171,692,28,21,937,3,791,13-Jul-06
172,916,31,10,969,4,793,14-Jul-06
173,797,27,16,1013,5,808,15-Jul-06
174,1472,19,11,676,6,794,16-Jul-06
175,1103,20,13,698,7,792,17-Jul-06
176,691,34,14,946,1,793,18-Jul-06
177,1367,22,17,574,2,801,19-Jul-06
178,1009,19,10,575,3,801,20-Jul-06
179,847,30,10,911,4,796,21-Jul-06
180,800,30,11,917,5,791,22-Jul-06
181,1455,22,16,765,6,810,23-Jul-06
182,603,29,13,1126,7,802,24-Jul-06
183,1052,19,25,557,1,790,25-Jul-06
184,1110,22,21,536,2,794,26-Jul-06
185,835,28,16,926,3,803,27-Jul-06
186,1449,20,25,532,4,795,28-Jul-06
187,875,32,24,951,5,792,29-Jul-06
188,646,26,14,1092,6,796,30-Jul-06
189,1364,21,12,733,7,796,31-Jul-06
190,1113,23,23,526,1,797,01-Aug-06
191,1148,21,11,595,2,802,02-Aug-06
192,1306,21,25,523,3,809,03-Aug-06
193,1429,21,24,479,4,795,04-Aug-06
194,931,30,21,950,5,796,05-Aug-06
195,638,26,20,1111,6,798,06-Aug-06
196,555,32,25,1080,7,805,07-Aug-06
197,943,32,25,922,1,796,08-Aug-06
198,707,31,15,952,2,793,09-Aug-06
199,1010,21,16,611,3,796,10-Aug-06
200,1276,23,24,570,4,798,11-Aug-06
201,1450,20,24,573,5,803,12-Aug-06
202,834,25,18,1103,6,802,13-Aug-06
203,537,27,12,1111,7,804,14-Aug-06
204,953,30,16,1006,1,810,15-Aug-06
205,600,26,22,947,2,806,16-Aug-06
206,608,27,12,930,3,810,17-Aug-06
207,726,32,24,873,4,796,18-Aug-06
208,818,29,18,945,5,806,19-Aug-06
209,600,25,20,1070,6,808,20-Aug-06
210,1311,20,19,734,7,792,21-Aug-06
211,1440,22,23,498,1,797,22-Aug-06
212,913,30,22,890,2,797,23-Aug-06
213,588,26,14,952,3,806,24-Aug-06
214,1477,22,22,504,4,799,25-Aug-06
215,934,26,11,918,5,808,26-Aug-06
216,1090,20,15,726,6,806,27-Aug-06
217,1373,19,12,731,7,798,28-Aug-06
218,595,29,18,990,1,804,29-Aug-06
219,531,25,20,925,2,790,30-Aug-06
220,1016,21,18,516,3,795,31-Aug-06
221,786,34,16,951,4,795,01-Sep-06
222,1133,20,21,554,5,805,02-Sep-06
223,544,25,10,1040,6,809,03-Sep-06
224,1248,21,13,686,7,793,04-Sep-06
225,1393,22,13,597,1,801,05-Sep-06
226,1267,19,19,564,2,800,06-Sep-06
227,946,32,11,996,3,790,07-Sep-06
228,719,25,20,933,4,792,08-Sep-06
229,1312,19,13,541,5,810,09-Sep-06
230,606,26,20,1107,6,801,10-Sep-06
231,1485,19,20,702,7,797,11-Sep-06
232,1096,20,19,526,1,804,12-Sep-06
233,1144,22,11,518,2,804,13-Sep-06
234,1306,21,15,605,4,792,14-Sep-06
235,1031,22,14,586,5,803,15-Sep-06
236,746,28,13,1194,6,803,16-Sep-06
237,1405,22,10,777,7,806,17-Sep-06
238,1476,20,17,613,1,803,18-Sep-06
239,958,25,13,1004,2,800,19-Sep-06
240,1341,19,13,514,3,809,20-Sep-06
241,623,34,20,901,4,801,21-Sep-06
242,1137,21,10,528,5,791,22-Sep-06
243,1190,21,25,665,6,805,23-Sep-06
244,1329,20,12,709,7,799,24-Sep-06
245,1376,21,17,519,1,808,25-Sep-06
246,1431,21,11,582,2,802,26-Sep-06
247,1272,20,21,546,3,800,27-Sep-06
248,933,26,16,980,4,793,28-Sep-06
249,1458,22,12,587,5,791,29-Sep-06
250,1412,21,20,642,6,795,30-Sep-06
251,1227,21,25,723,7,790,01-Oct-06
252,637,29,17,968,1,803,02-Oct-06
253,1110,21,12,534,2,799,03-Oct-06
254,1406,21,20,542,3,801,04-Oct-06
255,911,31,11,941,4,802,05-Oct-06
256,744,29,24,970,5,791,06-Oct-06
257,922,32,18,1158,6,793,07-Oct-06
258,712,30,21,1112,7,792,08-Oct-06
259,1146,22,24,532,1,791,09-Oct-06
260,732,25,16,938,2,793,10-Oct-06
261,1366,21,24,563,3,799,11-Oct-06
262,915,32,25,935,4,806,12-Oct-06
263,975,25,17,929,5,802,13-Oct-06
264,1087,22,15,735,6,801,14-Oct-06
265,1474,19,16,788,7,793,15-Oct-06
266,1051,20,11,538,1,800,16-Oct-06
267,642,32,15,1000,2,808,17-Oct-06
268,846,33,22,952,3,790,18-Oct-06
269,1275,23,13,544,4,790,19-Oct-06
270,1358,23,13,525,5,809,20-Oct-06
271,770,25,10,1122,6,792,21-Oct-06
272,729,34,16,1140,7,792,22-Oct-06
273,1069,22,14,540,1,810,23-Oct-06
274,979,27,19,972,2,793,24-Oct-06
275,1285,22,15,515,3,791,25-Oct-06
276,1419,21,20,498,4,798,26-Oct-06
277,1288,22,23,560,5,795,27-Oct-06
278,1368,22,22,711,6,793,28-Oct-06
279,831,34,18,1121,7,809,29-Oct-06
280,579,29,12,939,1,795,30-Oct-06
281,551,32,24,875,2,790,31-Oct-06
282,505,28,19,976,3,799,01-Nov-06
283,764,34,21,900,4,799,02-Nov-06
284,942,32,15,915,5,809,03-Nov-06
285,546,29,23,1058,6,809,04-Nov-06
286,777,33,11,1090,7,793,05-Nov-06
287,1043,22,17,544,1,796,06-Nov-06
288,922,32,24,881,2,806,07-Nov-06
289,1370,20,19,524,3,803,08-Nov-06
290,544,32,24,942,4,803,09-Nov-06
291,1199,19,16,554,5,807,10-Nov-06
292,1067,21,13,706,6,810,11-Nov-06
293,773,34,13,1170,7,808,12-Nov-06
294,1411,23,22,491,1,801,13-Nov-06
295,653,32,23,885,2,794,14-Nov-06
296,685,33,13,977,3,792,15-Nov-06
297,1161,19,21,542,4,804,16-Nov-06
298,689,28,22,883,5,801,17-Nov-06
299,904,27,18,1134,6,808,18-Nov-06
300,708,34,11,1110,7,790,19-Nov-06
301,1103,22,22,509,1,792,20-Nov-06
302,1226,21,16,601,2,804,21-Nov-06
303,1366,19,22,539,3,795,22-Nov-06
304,961,32,18,1017,4,790,23-Nov-06
305,630,29,16,1010,5,793,24-Nov-06
306,795,26,18,1102,6,793,25-Nov-06
307,1206,20,24,680,7,807,26-Nov-06
308,1190,22,19,587,1,790,27-Nov-06
309,943,32,18,954,2,793,28-Nov-06
310,593,26,25,915,3,801,29-Nov-06
311,972,33,18,920,4,802,30-Nov-06
312,1112,22,14,612,5,800,01-Dec-06
313,723,32,11,1114,6,796,02-Dec-06
314,630,32,19,1115,7,790,03-Dec-06
315,988,33,25,921,1,809,04-Dec-06
316,1042,20,21,488,2,801,05-Dec-06
317,1230,20,15,602,3,805,06-Dec-06
318,1266,23,22,541,4,804,07-Dec-06
319,1295,19,25,560,5,809,08-Dec-06
320,631,29,17,1054,6,796,09-Dec-06
321,1278,22,14,710,7,791,10-Dec-06
322,674,27,11,919,1,809,11-Dec-06
323,1180,20,17,562,2,802,12-Dec-06
324,1095,19,11,574,3,799,13-Dec-06
325,1186,19,11,572,4,791,14-Dec-06
326,808,32,13,915,5,799,15-Dec-06
327,791,26,20,1127,6,806,16-Dec-06
328,683,27,11,1064,7,805,17-Dec-06
329,1477,23,24,569,1,800,18-Dec-06
330,547,31,22,963,2,803,19-Dec-06
331,1481,19,13,585,3,801,20-Dec-06
332,961,30,17,931,4,804,21-Dec-06
333,1364,21,13,544,5,799,22-Dec-06
334,857,33,22,1072,6,800,23-Dec-06
335,1072,22,21,697,7,797,24-Dec-06
336,1179,20,25,538,1,792,25-Dec-06
337,1215,20,10,615,2,807,26-Dec-06
338,1416,22,21,494,3,797,27-Dec-06
339,594,28,18,916,4,805,28-Dec-06
340,1061,19,23,487,5,792,29-Dec-06
341,1450,22,15,712,6,803,30-Dec-06
342,690,34,15,1051,7,794,31-Dec-06
343,599,34,14,967,1,805,01-Jan-07
344,961,33,25,973,2,797,02-Jan-07
345,974,33,17,992,3,801,03-Jan-07
346,850,26,25,873,4,810,04-Jan-07
347,902,27,18,969,5,797,05-Jan-07
348,988,28,10,1089,6,810,06-Jan-07
349,1404,21,19,717,7,794,07-Jan-07
350,1486,19,17,552,1,799,08-Jan-07
351,1192,19,24,511,2,791,09-Jan-07
352,802,26,11,1008,3,793,10-Jan-07
353,652,34,25,916,4,808,11-Jan-07
354,1246,20,21,570,5,801,12-Jan-07
355,784,26,25,1135,6,791,13-Jan-07
356,1265,21,19,691,7,810,14-Jan-07
357,534,31,14,975,1,809,15-Jan-07
358,898,26,22,967,2,790,16-Jan-07
359,1021,19,11,552,3,798,17-Jan-07
360,621,27,25,902,4,800,18-Jan-07
361,1134,23,20,549,5,801,19-Jan-07
362,1067,19,13,715,6,794,20-Jan-07
363,1283,22,19,707,7,799,21-Jan-07
364,1430,19,23,535,1,793,22-Jan-07
365,944,32,12,949,2,791,23-Jan-07
366,1380,22,21,493,3,801,24-Jan-07
367,778,25,24,918,4,801,25-Jan-07
368,1056,20,16,555,5,802,26-Jan-07
369,671,30,13,1111,6,800,27-Jan-07
370,1322,20,13,709,7,793,28-Jan-07
371,896,34,11,990,1,791,29-Jan-07
372,701,28,23,914,2,796,30-Jan-07
373,658,26,19,959,3,802,31-Jan-07
374,639,32,21,961,4,807,01-Feb-07
375,796,34,20,932,5,804,02-Feb-07
376,807,33,18,1173,6,801,03-Feb-07
377,1489,22,22,670,7,795,04-Feb-07
378,774,26,16,928,1,796,05-Feb-07
379,696,30,17,1014,2,800,06-Feb-07
380,1064,19,10,568,3,792,07-Feb-07
381,570,34,15,966,4,805,08-Feb-07
382,770,33,12,925,5,801,09-Feb-07
383,793,30,25,1101,6,806,10-Feb-07
384,1146,19,16,748,7,804,11-Feb-07
385,803,30,11,1010,1,798,12-Feb-07
386,1208,21,13,557,2,809,13-Feb-07
387,577,29,10,922,3,809,14-Feb-07
388,593,27,16,958,4,799,15-Feb-07
389,673,31,16,946,5,790,16-Feb-07
390,685,28,23,1005,6,808,17-Feb-07
391,1007,22,19,702,7,794,18-Feb-07
392,915,31,23,967,1,792,19-Feb-07
393,942,25,17,971,2,799,20-Feb-07
394,1070,22,16,520,3,801,21-Feb-07
395,1444,23,17,526,4,794,22-Feb-07
396,1383,21,19,575,5,805,23-Feb-07
397,922,26,22,1080,6,804,24-Feb-07
398,965,30,20,1085,7,809,25-Feb-07
399,660,29,11,928,1,794,26-Feb-07
400,1273,21,22,548,2,799,27-Feb-07
401,814,33,20,948,3,792,28-Feb-07
402,1187,19,20,544,5,805,01-Mar-07
403,953,33,22,1084,6,805,02-Mar-07
404,988,25,25,1112,7,809,03-Mar-07
405,1249,19,20,495,1,798,04-Mar-07
406,1396,22,17,605,2,799,05-Mar-07
407,1036,23,10,563,3,790,06-Mar-07
408,1191,20,15,566,4,794,07-Mar-07
409,849,26,21,909,5,795,08-Mar-07
410,771,32,16,1109,6,808,09-Mar-07
411,1483,23,10,640,7,804,10-Mar-07
412,1448,19,14,579,1,800,11-Mar-07
413,529,31,12,957,2,796,12-Mar-07
414,1402,19,16,519,3,803,13-Mar-07
415,687,30,18,993,4,791,14-Mar-07
416,1376,21,20,548,5,800,15-Mar-07
417,934,34,17,1116,6,800,16-Mar-07
418,1032,22,25,693,7,797,17-Mar-07
419,1034,23,17,577,1,793,18-Mar-07
420,973,27,19,938,2,796,19-Mar-07
421,1429,21,24,518,3,799,20-Mar-07
422,1204,19,14,552,4,791,21-Mar-07
423,728,33,12,1012,5,808,22-Mar-07
424,1480,23,22,711,6,806,23-Mar-07
425,861,32,19,1144,7,805,24-Mar-07
426,830,28,25,939,1,808,25-Mar-07
427,995,30,25,959,2,791,26-Mar-07
428,1303,19,20,503,3,803,27-Mar-07
429,723,29,19,930,4,810,28-Mar-07
430,1376,22,22,562,5,795,29-Mar-07
431,1053,23,24,705,6,795,30-Mar-07
432,621,25,11,1114,7,800,31-Mar-07
433,920,31,22,898,1,801,01-Apr-07
434,886,33,19,929,2,805,02-Apr-07
435,1247,22,21,474,3,796,03-Apr-07
436,526,26,17,970,4,804,04-Apr-07
437,785,26,13,969,5,803,05-Apr-07
438,671,27,20,1066,6,804,06-Apr-07
439,1038,23,23,657,7,790,07-Apr-07
440,1397,19,15,589,1,796,08-Apr-07
441,576,32,11,996,2,791,09-Apr-07
442,591,29,14,921,3,794,10-Apr-07
443,1008,23,13,593,4,796,11-Apr-07
444,815,28,12,939,5,800,12-Apr-07
445,1126,19,18,660,6,802,13-Apr-07
446,1168,22,24,628,7,801,14-Apr-07
447,1336,22,11,532,1,795,15-Apr-07
448,811,25,10,963,2,793,16-Apr-07
449,721,34,22,932,3,810,17-Apr-07
450,735,31,16,993,4,802,18-Apr-07
451,777,29,24,897,5,800,19-Apr-07
452,597,26,17,1147,6,808,20-Apr-07
453,766,26,22,1073,7,802,21-Apr-07
454,1259,19,16,572,1,796,22-Apr-07
455,1141,19,18,581,2,800,23-Apr-07
456,1057,20,11,568,3,790,24-Apr-07
457,831,34,25,929,4,802,25-Apr-07
458,943,30,22,892,5,790,26-Apr-07
459,835,26,18,1121,6,807,27-Apr-07
460,1499,21,21,695,7,791,28-Apr-07
461,1067,21,17,550,1,791,29-Apr-07
462,857,33,16,993,2,790,30-Apr-07
463,1483,23,15,517,3,810,01-May-07
464,1162,23,23,478,4,804,02-May-07
465,1368,22,18,588,5,795,03-May-07
466,725,25,11,1067,6,793,04-May-07
467,1223,19,11,743,7,802,05-May-07
468,1239,22,17,528,1,801,06-May-07
469,814,26,25,952,2,806,07-May-07
470,743,30,18,991,3,804,08-May-07
471,1251,22,11,522,4,799,09-May-07
472,905,33,15,1000,5,799,10-May-07
473,845,26,24,1121,6,810,11-May-07
474,1025,21,14,672,7,790,12-May-07
475,1206,23,16,610,1,798,13-May-07
476,980,25,19,1003,2,801,14-May-07
477,1412,19,11,567,3,798,15-May-07
478,1053,22,12,614,4,797,16-May-07
479,590,33,23,909,5,792,17-May-07
480,876,30,10,1142,6,792,18-May-07
481,1142,21,15,687,7,809,19-May-07
482,1028,19,19,569,1,796,20-May-07
483,1491,23,24,525,2,795,21-May-07
484,775,29,25,883,3,809,22-May-07
485,567,34,17,940,4,807,23-May-07
486,935,34,20,891,5,790,24-May-07
487,579,32,22,1080,6,804,25-May-07
488,1207,19,23,697,7,800,26-May-07
489,1418,22,10,591,1,805,27-May-07
490,1330,22,20,537,2,795,28-May-07
491,1150,23,15,574,3,798,29-May-07
492,501,32,16,959,4,792,30-May-07
493,1033,20,11,578,5,806,31-May-07
494,1073,20,23,597,6,803,01-Jun-07
495,1144,19,14,677,7,804,02-Jun-07
496,809,30,13,970,1,790,03-Jun-07
497,1457,19,10,552,2,801,04-Jun-07
498,1232,22,15,573,3,809,05-Jun-07
499,764,25,19,918,4,805,06-Jun-07
500,1260,19,11,557,5,800,07-Jun-07
501,1258,21,24,692,6,798,08-Jun-07
502,1149,22,18,786,7,791,09-Jun-07
503,1138,22,11,524,1,799,10-Jun-07
504,1446,21,25,551,2,793,11-Jun-07
505,1025,19,12,582,3,798,12-Jun-07
506,1382,20,22,549,4,804,13-Jun-07
507,869,33,14,963,5,808,14-Jun-07
508,1008,22,13,704,6,793,15-Jun-07
509,1064,19,18,772,7,809,16-Jun-07
510,582,27,10,976,1,793,17-Jun-07
511,687,30,17,938,2,790,18-Jun-07
512,1499,20,10,526,3,799,19-Jun-07
513,582,28,19,1005,4,791,20-Jun-07
514,1386,19,11,543,5,795,21-Jun-07
515,1372,22,14,681,6,805,22-Jun-07
516,989,28,14,1086,7,808,23-Jun-07
517,993,25,20,933,1,804,24-Jun-07
518,721,34,13,971,2,790,25-Jun-07
519,1214,20,10,571,3,803,26-Jun-07
520,1063,19,22,540,4,806,27-Jun-07
521,780,30,20,883,5,799,28-Jun-07
522,1160,20,17,718,6,794,29-Jun-07
523,1016,19,23,735,7,795,30-Jun-07
524,1250,19,18,583,1,804,01-Jul-07
525,1308,19,17,613,2,810,02-Jul-07
526,517,34,13,925,3,806,03-Jul-07
527,600,33,18,983,4,791,04-Jul-07
528,1026,20,23,488,5,792,05-Jul-07
529,1329,23,16,781,6,801,06-Jul-07
530,1117,21,13,713,7,799,07-Jul-07
531,1207,19,15,568,1,810,08-Jul-07
532,604,33,13,984,2,797,09-Jul-07
533,1450,20,22,573,3,802,10-Jul-07
534,939,32,13,977,4,800,11-Jul-07
535,1053,19,21,506,5,791,12-Jul-07
536,711,29,19,1121,6,809,13-Jul-07
537,1010,20,22,670,7,803,14-Jul-07
538,1425,20,16,538,1,795,15-Jul-07
539,714,32,20,937,2,810,16-Jul-07
540,643,31,17,925,3,805,17-Jul-07
541,763,27,13,939,4,803,18-Jul-07
542,668,28,10,989,5,800,19-Jul-07
543,1327,21,14,692,6,798,20-Jul-07
544,905,29,18,1153,7,795,21-Jul-07
545,626,27,17,981,1,807,22-Jul-07
546,1393,19,13,529,2,804,23-Jul-07
547,1064,23,17,548,3,797,24-Jul-07
548,1412,22,25,519,4,799,25-Jul-07
549,1247,20,12,529,5,802,26-Jul-07
550,875,34,13,1083,6,802,27-Jul-07
551,1147,19,10,808,7,794,28-Jul-07
552,1074,20,21,573,1,800,29-Jul-07
553,1351,22,24,532,2,804,30-Jul-07
554,846,29,24,912,3,804,31-Jul-07
555,1288,20,21,567,4,808,01-Aug-07
556,665,30,13,941,5,791,02-Aug-07
557,849,34,12,1132,6,804,03-Aug-07
558,1253,22,12,717,7,804,04-Aug-07
559,1093,23,25,509,1,808,05-Aug-07
560,1036,21,24,541,2,799,06-Aug-07
561,1496,23,15,550,3,794,07-Aug-07
562,514,27,21,920,4,809,08-Aug-07
563,702,31,19,960,5,798,09-Aug-07
564,1117,20,12,681,6,804,10-Aug-07
565,949,26,11,1134,7,799,11-Aug-07
566,830,34,14,942,1,791,12-Aug-07
567,822,32,16,1006,2,805,13-Aug-07
568,909,32,16,1000,3,808,14-Aug-07
569,1352,23,18,583,4,797,15-Aug-07
570,1264,19,12,693,6,808,16-Aug-07
571,1166,20,13,715,7,800,17-Aug-07
572,1424,20,10,577,1,793,18-Aug-07
573,791,26,21,926,2,803,19-Aug-07
574,1161,23,18,590,3,798,20-Aug-07
575,750,28,23,900,4,803,21-Aug-07
576,1075,20,16,608,5,803,22-Aug-07
577,1136,20,15,664,6,792,23-Aug-07
578,1456,21,10,689,7,808,24-Aug-07
579,1441,20,12,536,1,798,25-Aug-07
580,1161,22,25,487,2,802,26-Aug-07
581,590,33,12,971,3,809,27-Aug-07
582,658,32,10,963,4,805,28-Aug-07
583,604,32,12,982,5,805,29-Aug-07
584,902,27,10,1144,6,793,30-Aug-07
585,1008,22,18,790,7,799,31-Aug-07
586,604,34,15,954,1,793,01-Sep-07
587,942,27,15,977,2,799,02-Sep-07
588,1015,19,20,564,3,805,03-Sep-07
589,791,29,13,1008,4,808,04-Sep-07
590,1120,19,20,518,5,804,05-Sep-07
591,797,31,21,1010,6,807,06-Sep-07
592,974,33,24,1131,7,808,07-Sep-07
593,1458,20,22,561,1,791,08-Sep-07
594,1102,19,13,525,2,797,09-Sep-07
595,570,31,12,921,3,803,10-Sep-07
596,1284,21,10,615,4,801,11-Sep-07
597,511,32,14,968,5,807,12-Sep-07
598,1168,20,20,704,6,810,13-Sep-07
599,737,29,18,1178,7,790,14-Sep-07
600,638,32,10,998,1,800,15-Sep-07
601,1382,20,25,522,2,793,16-Sep-07
602,621,25,22,933,3,804,17-Sep-07
603,1151,19,18,584,4,806,18-Sep-07
604,1403,22,10,605,5,806,19-Sep-07
605,1322,19,19,772,6,801,20-Sep-07
606,852,25,15,1140,7,804,21-Sep-07
607,1077,23,16,525,1,808,22-Sep-07
608,1287,21,13,528,2,799,23-Sep-07
609,849,27,15,957,3,796,24-Sep-07
610,840,31,14,966,4,798,25-Sep-07
611,623,25,18,976,5,809,26-Sep-07
612,1170,23,12,780,6,808,27-Sep-07
613,853,30,19,1061,7,802,28-Sep-07
614,796,31,24,931,1,807,29-Sep-07
615,1072,19,18,601,2,792,30-Sep-07
616,623,30,21,899,3,808,01-Oct-07
617,853,32,25,968,4,798,02-Oct-07
618,606,30,18,1012,5,801,03-Oct-07
619,535,26,12,1104,6,807,04-Oct-07
620,1210,21,19,702,7,793,05-Oct-07
